binome;vdportgroup;ipv4_routeur;ipv6_ll_routeur;ipv6_gu_routeur;domaine;fqdn_svr;ipv4_svr;ipv6_svr
11;RT2-G1-B1-0;10.59.111.1/24; FE80::1 ; 2001:660:4601:9F20::1/64;dom11.test;svr11.dom11.test;10.59.111.100; 2001:660:4601:9F20::100
12;RT2-G1-B2-0;10.59.112.1/24; FE80::1 ; 2001:660:4601:9F21::1/64;dom12.test;svr12.dom12.test;10.59.112.100; 2001:660:4601:9F21::100
13;RT2-G1-B3-0;10.59.113.1/24; FE80::1 ; 2001:660:4601:9F22::1/64;dom13.test;svr13.dom13.test;10.59.113.100; 2001:660:4601:9F22::100
14;RT2-G1-B4-0;10.59.114.1/24; FE80::1 ; 2001:660:4601:9F23::1/64;dom14.test;svr14.dom14.test;10.59.114.100; 2001:660:4601:9F23::100
15;RT2-G1-B5-0;10.59.115.1/24; FE80::1 ; 2001:660:4601:9F24::1/64;dom15.test;svr15.dom15.test;10.59.115.100; 2001:660:4601:9F24::100
16;RT2-G1-B6-0;10.59.116.1/24; FE80::1 ; 2001:660:4601:9F25::1/64;dom16.test;svr16.dom16.test;10.59.116.100; 2001:660:4601:9F25::100
17;RT2-G1-B7-0;10.59.117.1/24; FE80::1 ; 2001:660:4601:9F26::1/64;dom17.test;svr17.dom17.test;10.59.117.100; 2001:660:4601:9F26::100
18;RT2-G1-B8-0;10.59.118.1/24; FE80::1 ; 2001:660:4601:9F27::1/64;dom18.test;svr18.dom18.test;10.59.118.100; 2001:660:4601:9F27::100
21;RT2-G2-B1-0;10.59.121.1/24; FE80::1 ; 2001:660:4601:9F28::1/64;dom21.test;svr21.dom21.test;10.59.121.100; 2001:660:4601:9F28::100
22;RT2-G2-B2-0;10.59.122.1/24; FE80::1 ; 2001:660:4601:9F29::1/64;dom22.test;svr22.dom22.test;10.59.122.100; 2001:660:4601:9F29::100
23;RT2-G2-B3-0;10.59.123.1/24; FE80::1 ; 2001:660:4601:9F2A::1/64;dom23.test;svr23.dom23.test;10.59.123.100; 2001:660:4601:9F2A::100
24;RT2-G2-B4-0;10.59.124.1/24; FE80::1 ; 2001:660:4601:9F2B::1/64;dom24.test;svr24.dom24.test;10.59.124.100; 2001:660:4601:9F2B::100
25;RT2-G2-B5-0;10.59.125.1/24; FE80::1 ; 2001:660:4601:9F2C::1/64;dom25.test;svr25.dom25.test;10.59.125.100; 2001:660:4601:9F2C::100
26;RT2-G2-B6-0;10.59.126.1/24; FE80::1 ; 2001:660:4601:9F2D::1/64;dom26.test;svr26.dom26.test;10.59.126.100; 2001:660:4601:9F2D::100
27;RT2-G2-B7-0;10.59.127.1/24; FE80::1 ; 2001:660:4601:9F2E::1/64;dom27.test;svr27.dom27.test;10.59.127.100; 2001:660:4601:9F2E::100
28;RT2-G2-B8-0;10.59.128.1/24; FE80::1 ; 2001:660:4601:9F2F::1/64;dom28.test;svr28.dom28.test;10.59.128.100; 2001:660:4601:9F2F::100
31;RT2-G3-B1-0;10.59.131.1/24; FE80::1 ; 2001:660:4601:9F30::1/64;dom31.test;svr31.dom31.test;10.59.131.100; 2001:660:4601:9F30::100
32;RT2-G3-B2-0;10.59.132.1/24; FE80::1 ; 2001:660:4601:9F31::1/64;dom32.test;svr32.dom32.test;10.59.132.100; 2001:660:4601:9F31::100
33;RT2-G3-B3-0;10.59.133.1/24; FE80::1 ; 2001:660:4601:9F32::1/64;dom33.test;svr33.dom33.test;10.59.133.100; 2001:660:4601:9F32::100
34;RT2-G3-B4-0;10.59.134.1/24; FE80::1 ; 2001:660:4601:9F33::1/64;dom34.test;svr34.dom34.test;10.59.134.100; 2001:660:4601:9F33::100
35;RT2-G3-B5-0;10.59.135.1/24; FE80::1 ; 2001:660:4601:9F34::1/64;dom35.test;svr35.dom35.test;10.59.135.100; 2001:660:4601:9F34::100
36;RT2-G3-B6-0;10.59.136.1/24; FE80::1 ; 2001:660:4601:9F35::1/64;dom36.test;svr36.dom36.test;10.59.136.100; 2001:660:4601:9F35::100
37;RT2-G3-B7-0;10.59.137.1/24; FE80::1 ; 2001:660:4601:9F36::1/64;dom37.test;svr37.dom37.test;10.59.137.100; 2001:660:4601:9F36::100
38;RT2-G3-B8-0;10.59.138.1/24; FE80::1 ; 2001:660:4601:9F37::1/64;dom38.test;svr38.dom38.test;10.59.138.100; 2001:660:4601:9F37::100
